total_bet,total_win,balance,roi,max_drawdown,boost_periods,hit_count,hit_rate,lookback,boost_threshold,boost_multiplier,reward_risk_ratio
8818.5,11970.900000000005,3152.3999999999987,35.747576118387464,778.5,81,69,34.5,15,0.4,1.3,0.04585962298702689
8559.0,11618.399999999996,3059.400000000001,35.74483000350509,779.2,41,69,34.5,15,0.42,1.4,0.04581495770764559
8559.0,11618.399999999996,3059.400000000001,35.74483000350509,779.2,41,69,34.5,15,0.45,1.4,0.04581495770764559
8511.0,11552.599999999995,3041.6000000000013,35.73728116555048,763.8000000000001,69,69,34.5,6,0.4,1.2,0.046727616586755324
8511.0,11552.599999999995,3041.6000000000013,35.73728116555048,763.8000000000001,69,69,34.5,6,0.35,1.2,0.046727616586755324
8511.0,11552.599999999995,3041.6000000000013,35.73728116555048,763.8000000000001,69,69,34.5,6,0.5,1.2,0.046727616586755324
8511.0,11552.599999999995,3041.6000000000013,35.73728116555048,763.8000000000001,69,69,34.5,6,0.38,1.2,0.046727616586755324
8511.0,11552.599999999995,3041.6000000000013,35.73728116555048,763.8000000000001,69,69,34.5,6,0.45,1.2,0.046727616586755324
8511.0,11552.599999999995,3041.6000000000013,35.73728116555048,763.8000000000001,69,69,34.5,6,0.42,1.2,0.046727616586755324
8643.0,11731.199999999995,3088.200000000001,35.730649080180505,791.2,48,69,34.5,10,0.5,1.4,0.04510306624612535
8643.0,11731.199999999995,3088.200000000001,35.730649080180505,791.2,48,69,34.5,10,0.45,1.4,0.04510306624612535
8643.0,11731.199999999995,3088.200000000001,35.730649080180505,791.2,48,69,34.5,10,0.42,1.4,0.04510306624612535
8446.5,11458.600000000006,3012.0999999999985,35.66092464334338,759.1,90,69,34.5,10,0.35,1.1,0.046916096097017995
8446.5,11458.600000000006,3012.0999999999985,35.66092464334338,759.1,90,69,34.5,10,0.4,1.1,0.046916096097017995
8446.5,11458.600000000006,3012.0999999999985,35.66092464334338,759.1,90,69,34.5,10,0.38,1.1,0.046916096097017995
8880.0,12043.75,3163.75,35.62781531531532,741.5,112,69,34.5,8,0.35,1.25,0.04798358965025632
8475.0,11491.5,3016.5,35.5929203539823,790.5,42,69,34.5,12,0.42,1.25,0.044968945488290966
8475.0,11491.5,3016.5,35.5929203539823,790.5,42,69,34.5,12,0.5,1.25,0.044968945488290966
8475.0,11491.5,3016.5,35.5929203539823,790.5,42,69,34.5,12,0.45,1.25,0.044968945488290966
8632.5,11703.0,3070.5,35.56907037358818,782.0,41,69,34.5,15,0.45,1.5,0.0454266543723987
8632.5,11703.0,3070.5,35.56907037358818,782.0,41,69,34.5,15,0.42,1.5,0.0454266543723987
8572.5,11620.75,3048.25,35.55847185768445,762.75,69,69,34.5,6,0.4,1.25,0.046557737293203866
8572.5,11620.75,3048.25,35.55847185768445,762.75,69,69,34.5,6,0.5,1.25,0.046557737293203866
8572.5,11620.75,3048.25,35.55847185768445,762.75,69,69,34.5,6,0.38,1.25,0.046557737293203866
8572.5,11620.75,3048.25,35.55847185768445,762.75,69,69,34.5,6,0.45,1.25,0.046557737293203866
8572.5,11620.75,3048.25,35.55847185768445,762.75,69,69,34.5,6,0.42,1.25,0.046557737293203866
8572.5,11620.75,3048.25,35.55847185768445,762.75,69,69,34.5,6,0.35,1.25,0.046557737293203866
8737.5,11844.0,3106.5,35.55364806866953,797.0,48,69,34.5,10,0.42,1.5,0.0445534436950746
8737.5,11844.0,3106.5,35.55364806866953,797.0,48,69,34.5,10,0.45,1.5,0.0445534436950746
8737.5,11844.0,3106.5,35.55364806866953,797.0,48,69,34.5,10,0.5,1.5,0.0445534436950746
9003.0,12201.199999999993,3198.2000000000016,35.52371431744976,782.0,81,69,34.5,15,0.35,1.4,0.04536872837477619
9003.0,12201.199999999993,3198.2000000000016,35.52371431744976,782.0,81,69,34.5,15,0.38,1.4,0.04536872837477619
9003.0,12201.199999999993,3198.2000000000016,35.52371431744976,782.0,81,69,34.5,15,0.4,1.4,0.04536872837477619
9003.0,12196.500000000005,3193.4999999999986,35.47150949683437,736.1999999999999,112,69,34.5,8,0.35,1.3,0.04811653485734451
8517.0,11533.800000000003,3016.7999999999993,35.420922860162015,795.0,42,69,34.5,12,0.42,1.3,0.04449864680924876
8517.0,11533.800000000003,3016.7999999999993,35.420922860162015,795.0,42,69,34.5,12,0.45,1.3,0.04449864680924876
8517.0,11533.800000000003,3016.7999999999993,35.420922860162015,795.0,42,69,34.5,12,0.5,1.3,0.04449864680924876
8634.0,11688.900000000005,3054.8999999999987,35.38220986796385,761.6999999999999,69,69,34.5,6,0.45,1.3,0.046390730127132365
8634.0,11688.900000000005,3054.8999999999987,35.38220986796385,761.6999999999999,69,69,34.5,6,0.35,1.3,0.046390730127132365
8634.0,11688.900000000005,3054.8999999999987,35.38220986796385,761.6999999999999,69,69,34.5,6,0.38,1.3,0.046390730127132365
8634.0,11688.900000000005,3054.8999999999987,35.38220986796385,761.6999999999999,69,69,34.5,6,0.5,1.3,0.046390730127132365
8634.0,11688.900000000005,3054.8999999999987,35.38220986796385,761.6999999999999,69,69,34.5,6,0.42,1.3,0.046390730127132365
8634.0,11688.900000000005,3054.8999999999987,35.38220986796385,761.6999999999999,69,69,34.5,6,0.4,1.3,0.046390730127132365
9187.5,12431.5,3244.0,35.308843537414965,785.5,81,69,34.5,15,0.38,1.5,0.044893634504024116
9187.5,12431.5,3244.0,35.308843537414965,785.5,81,69,34.5,15,0.4,1.5,0.044893634504024116
9187.5,12431.5,3244.0,35.308843537414965,785.5,81,69,34.5,15,0.35,1.5,0.044893634504024116
8537.25,11547.899999999994,3010.6500000000015,35.2648686637969,754.65,90,69,34.5,10,0.38,1.15,0.04666825734638643
8537.25,11547.899999999994,3010.6500000000015,35.2648686637969,754.65,90,69,34.5,10,0.35,1.15,0.04666825734638643
8537.25,11547.899999999994,3010.6500000000015,35.2648686637969,754.65,90,69,34.5,10,0.4,1.15,0.04666825734638643
9249.0,12501.99999999999,3253.0000000000023,35.17136987782465,725.5999999999999,112,69,34.5,8,0.35,1.4,0.04840540858494998
8601.0,11618.399999999996,3017.400000000001,35.081967213114766,804.0,42,69,34.5,12,0.5,1.4,0.0435800834945525
8601.0,11618.399999999996,3017.400000000001,35.081967213114766,804.0,42,69,34.5,12,0.45,1.4,0.0435800834945525
8601.0,11618.399999999996,3017.400000000001,35.081967213114766,804.0,42,69,34.5,12,0.42,1.4,0.0435800834945525
