================================================================================
 生肖TOP4投注策略回测 - 集成优化系统（带自动恢复止损）
================================================================================
回测期数: 200 期
基础投注: 16元/期
命中奖励: 45元
止损规则: 连续失败 3 期暂停
恢复规则: 预测命中 OR 连续暂停 8 期后自动恢复
================================================================================

第128期 2025/11/28 | 预测: 猴,猪,狗,蛇              | 实际: 龙  | 投注:   16元 | [MISS] 未中 -16元 (连败1)                     | 余额:   +239元 | ROI: +14.09%
第129期 2025/11/29 | 预测: 猴,狗,猪,蛇              | 实际: 鼠  | 投注:   16元 | [MISS] 未中 -16元 (连败2)                     | 余额:   +223元 | ROI: +13.03%
第130期 2025/11/30 | 预测: 猴,狗,猪,蛇              | 实际: 猴  | 投注:   32元 | [HIT] 命中 +58元 (连胜1)                      | 余额:   +281元 | ROI: +16.11%
第131期 2025/12/1 | 预测: 狗,猪,蛇,牛              | 实际: 狗  | 投注:   16元 | [HIT] 命中 +29元 (连胜2)                      | 余额:   +310元 | ROI: +17.61%
第132期 2025/12/2 | 预测: 猪,鸡,蛇,牛              | 实际: 牛  | 投注:   16元 | [HIT] 命中 +29元 (连胜3)                      | 余额:   +339元 | ROI: +19.09%
第133期 2025/12/3 | 预测: 猪,鸡,猴,蛇              | 实际: 鸡  | 投注:   16元 | [HIT] 命中 +29元 (连胜4)                      | 余额:   +368元 | ROI: +20.54%
第134期 2025/12/4 | 预测: 猪,猴,狗,马              | 实际: 狗  | 投注:   16元 | [HIT] 命中 +29元 (连胜5)                      | 余额:   +397元 | ROI: +21.96%
第135期 2025/12/5 | 预测: 猪,马,猴,蛇              | 实际: 马  | 投注:   16元 | [HIT] 命中 +29元 (连胜6)                      | 余额:   +426元 | ROI: +23.36%
第136期 2025/12/6 | 预测: 猪,猴,蛇,兔              | 实际: 虎  | 投注:   16元 | [MISS] 未中 -16元 (连败1)                     | 余额:   +410元 | ROI: +22.28%
第137期 2025/12/7 | 预测: 猪,猴,蛇,兔              | 实际: 鼠  | 投注:   16元 | [MISS] 未中 -16元 (连败2)                     | 余额:   +394元 | ROI: +21.23%
第138期 2025/12/8 | 预测: 蛇,猪,猴,兔              | 实际: 虎  | 投注:   32元 | [MISS] 未中 -32元 (连败3) [触发止损，暂停投注]         | 余额:   +362元 | ROI: +19.17%
第139期 2025/12/9 | 预测: 蛇,猪,猴,兔              | 实际: 龙  | 投注:    0元 | [PAUSE] 暂停投注(第1期，本期未中)                   | 余额:   +362元 | ROI: +19.17%
第140期 2025/12/10 | 预测: 蛇,猪,猴,兔              | 实际: 兔  | 投注:    0元 | [RESUME] 暂停中(第0期) -> 恢复投注（预测命中）          | 余额:   +362元 | ROI: +19.17%
第141期 2025/12/11 | 预测: 蛇,猪,羊,猴              | 实际: 马  | 投注:   16元 | [MISS] 未中 -16元 (连败1)                     | 余额:   +346元 | ROI: +18.17%
第142期 2025/12/12 | 预测: 蛇,猪,羊,猴              | 实际: 兔  | 投注:   16元 | [MISS] 未中 -16元 (连败2)                     | 余额:   +330元 | ROI: +17.19%
第143期 2025/12/13 | 预测: 猪,蛇,猴,羊              | 实际: 蛇  | 投注:   32元 | [HIT] 命中 +58元 (连胜1)                      | 余额:   +388元 | ROI: +19.88%
第144期 2025/12/14 | 预测: 猪,猴,羊,狗              | 实际: 虎  | 投注:   16元 | [MISS] 未中 -16元 (连败1)                     | 余额:   +372元 | ROI: +18.90%
第145期 2025/12/15 | 预测: 猪,猴,羊,牛              | 实际: 猴  | 投注:   16元 | [HIT] 命中 +29元 (连胜1)                      | 余额:   +401元 | ROI: +20.21%
第146期 2025/12/16 | 预测: 猪,鸡,牛,羊              | 实际: 蛇  | 投注:   16元 | [MISS] 未中 -16元 (连败1)                     | 余额:   +385元 | ROI: +19.25%
第147期 2025/12/17 | 预测: 猪,鸡,牛,羊              | 实际: 虎  | 投注:   16元 | [MISS] 未中 -16元 (连败2)                     | 余额:   +369元 | ROI: +18.30%
第148期 2025/12/18 | 预测: 猪,牛,羊,鸡              | 实际: 狗  | 投注:   32元 | [MISS] 未中 -32元 (连败3) [触发止损，暂停投注]         | 余额:   +337元 | ROI: +16.46%
第149期 2025/12/19 | 预测: 猪,羊,鸡,牛              | 实际: 蛇  | 投注:    0元 | [PAUSE] 暂停投注(第1期，本期未中)                   | 余额:   +337元 | ROI: +16.46%
