period,date,top4,actual,is_hit,profit,cumulative_profit,consecutive_misses
138,2025/9/17,"['猪', '狗', '猴', '牛']",兔,False,-16,-230,4
139,2025/9/18,"['猪', '狗', '牛', '鸡']",鸡,True,30,-200,0
140,2025/9/19,"['猪', '狗', '牛', '猴']",狗,True,30,-170,0
141,2025/9/20,"['猪', '猴', '牛', '蛇']",龙,False,-16,-186,1
142,2025/9/21,"['猪', '猴', '鸡', '牛']",猪,True,30,-156,0
143,2025/9/22,"['猴', '牛', '鸡', '兔']",猴,True,30,-126,0
144,2025/9/23,"['牛', '鸡', '兔', '羊']",牛,True,30,-96,0
145,2025/9/24,"['猪', '蛇', '鸡', '兔']",牛,False,-16,-112,1
146,2025/9/25,"['鼠', '猪', '蛇', '鸡']",猴,False,-16,-128,2
147,2025/9/26,"['鼠', '猪', '蛇', '鸡']",猪,True,30,-98,0
148,2025/9/27,"['蛇', '鼠', '龙', '兔']",羊,False,-16,-114,1
